niche_id,name,parent_category,description,language,country,status,created_at
automotive_autoreifen,Autoreifen,Automotive,"Car accessories, maintenance, and automotive services",de,DE,candidate,2026-09-09T14:20:03.442652
automotive_autobatterie,Autobatterie,Automotive,"Car accessories, maintenance, and automotive services",de,DE,candidate,2026-09-09T14:20:03.442662
automotive_carsharing-anbieter,Carsharing Anbieter,Automotive,"Car accessories, maintenance, and automotive services",de,DE,candidate,2026-09-09T14:20:03.442672
automotive_autovermietung,Autovermietung,Automotive,"Car accessories, maintenance, and automotive services",de,DE,candidate,2026-09-09T14:20:03.442683
automotive_auto-versicherung,Auto Versicherung,Automotive,"Car accessories, maintenance, and automotive services",de,DE,candidate,2026-09-09T14:20:03.442691
automotive_elektroauto-vergleich,Elektroauto Vergleich,Automotive,"Car accessories, maintenance, and automotive services",de,DE,candidate,2026-09-09T14:20:03.442699
automotive_dashcam-test,Dashcam Test,Automotive,"Car accessories, maintenance, and automotive services",de,DE,candidate,2026-09-09T14:20:03.442707
automotive_autoradio,Autoradio,Automotive,"Car accessories, maintenance, and automotive services",de,DE,candidate,2026-09-09T14:20:03.442715
b2b_buroeinrichtung,Büroeinrichtung,B2B & Professional Services,"Business services, professional tools, and corporate solutions",de,DE,candidate,2026-09-09T14:20:03.443160
b2b_geschaftskreditkarte,Geschäftskreditkarte,B2B & Professional Services,"Business services, professional tools, and corporate solutions",de,DE,candidate,2026-09-09T14:20:03.443169
b2b_geschaftsversicherung,Geschäftsversicherung,B2B & Professional Services,"Business services, professional tools, and corporate solutions",de,DE,candidate,2026-09-09T14:20:03.443177
b2b_webdesign-agentur,Webdesign Agentur,B2B & Professional Services,"Business services, professional tools, and corporate solutions",de,DE,candidate,2026-09-09T14:20:03.443185
b2b_seo-agentur,SEO Agentur,B2B & Professional Services,"Business services, professional tools, and corporate solutions",de,DE,candidate,2026-09-09T14:20:03.443193
b2b_buroraumvermietung,Büroraumvermietung,B2B & Professional Services,"Business services, professional tools, and corporate solutions",de,DE,candidate,2026-09-09T14:20:03.443201
b2b_konferenzraum,Konferenzraum,B2B & Professional Services,"Business services, professional tools, and corporate solutions",de,DE,candidate,2026-09-09T14:20:03.443216
beauty_zahnbleaching,Zahnbleaching,Beauty & Personal Care,"Cosmetics, skincare, haircare, and personal care products",de,DE,candidate,2026-09-09T14:20:03.442723
beauty_haarverlangerung,Haarverlängerung,Beauty & Personal Care,"Cosmetics, skincare, haircare, and personal care products",de,DE,candidate,2026-09-09T14:20:03.442731
beauty_rasierapparat-test,Rasierapparat Test,Beauty & Personal Care,"Cosmetics, skincare, haircare, and personal care products",de,DE,candidate,2026-09-09T14:20:03.442742
beauty_gesichtsreiniger,Gesichtsreiniger,Beauty & Personal Care,"Cosmetics, skincare, haircare, and personal care products",de,DE,candidate,2026-09-09T14:20:03.442750
beauty_feuchtigkeitscreme,Feuchtigkeitscreme,Beauty & Personal Care,"Cosmetics, skincare, haircare, and personal care products",de,DE,candidate,2026-09-09T14:20:03.442757
beauty_anti-aging-produkte,Anti-Aging Produkte,Beauty & Personal Care,"Cosmetics, skincare, haircare, and personal care products",de,DE,candidate,2026-09-09T14:20:03.442769
